deployment_id,timestamp,deployment_day_of_week,deployment_time_of_day,deployment_hour,build_duration_sec,code_churn_lines,time_since_last_deployment_hours,deployment_frequency_per_day,error_rate,http_status_code,rollback_occurred,rollback_frequency,test_coverage_pct,total_test_cases,failed_test_cases,latency_p50_ms,latency_p95_ms,latency_p99_ms,failure_label,log_prob,fused_risk,fused_pred,log_only_pred,text,language,llm_prediction
1,2024-01-03 12:41:52,Wednesday,12:41,12,83.91420124568596,164,0.0,10.0,0.006363504190174,200,0,0.0,76.23389635993856,170,0,345.9792322116371,933.3194902328968,2274.7033912035304,0,0.0013870641,0.4008322385256179,0,0,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le agbo la dzi. Esia dze egɔme tso ŋdi sia me.,ew,YES
2,2024-01-03 18:19:37,Wednesday,18:19,18,118.07217948553614,173,5.628965268611111,4.263661055759498,0.0053340686127442,200,1,0.5,67.52266040474748,406,4,321.46811380786005,1047.3777534997462,1089.8570515050455,0,0.0013870641,0.4008322385256179,0,0,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
3,2024-01-04 00:21:42,Thursday,00:21,0,197.3767218357243,176,6.034828066944445,3.976915288019412,0.0193397003605607,200,1,0.6666666666666666,78.07725836134738,166,4,320.2444823029409,562.0701367085111,1341.187165709381,0,0.0013870641,0.4008322385256179,0,0,The system is not allowing me to complete my payment for the application. I also cleared my cache and still faced the same problem.,en,YES
4,2024-01-04 19:06:02,Thursday,19:06,19,141.40795252295612,183,18.738895693055557,1.280758503228883,0.0556424241433606,200,0,0.5,66.6461982147992,200,16,413.91099434034714,4024.389288804668,6934.944046905424,1,0.99227977,0.9953679084777832,1,1,"Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Na mfomso ho mmara biara nni hɔ a emu da hɔ, mfomso ho nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
5,2024-01-06 00:31:05,Saturday,00:31,0,88.20415309262295,166,29.41744590361111,0.8158424112901626,0.0157465167491479,200,0,0.4,68.48130724633506,419,0,290.8945856941372,1329.425404186332,1580.037241958182,0,0.0013870641,0.4008322385256179,0,0,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa no ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Yɛsrɛ sɛ hwɛ sɛ nhyehyɛe bi wɔ hɔ a wɔde ma a.,ak,YES
6,2024-01-06 22:00:59,Saturday,22:00,22,177.41010891128693,177,21.498420613333337,1.1163610774791142,0.0196832991896643,200,0,0.3333333333333333,71.46946546476154,464,4,333.92437632656345,559.6716556824966,2204.299558596319,0,0.0013870641,0.4008322385256179,0,0,"Nye kaɖi kple MOMO le dɔ wɔm le teƒe bubuwo, gake le mɔzɔgbalẽa ƒe nyatakakadzraɖoƒe la nyemate ŋu axe fea o. Esia dze egɔme tso ŋdi sia me.",ew,YES
7,2024-01-07 04:46:41,Sunday,04:46,4,190.01958202382065,154,6.761576034444444,3.5494683307176516,0.0003980296748015,200,0,0.2857142857142857,88.20724804168222,232,4,217.5006202802988,669.3991256326073,1579.836810597239,0,0.0013870641,0.4008322385256179,0,0,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le nyatakakadzraɖoƒea. Medze agbagba to web-browser vovovowo zazã me gake nya la gakpɔtɔ li.,ew,YES
8,2024-01-07 15:16:20,Sunday,15:16,15,121.37990714984008,158,10.494075303055554,2.287004743811199,0.0139805482808419,200,0,0.25,89.96453837299025,455,0,238.19211646423895,1295.8326589504416,1306.9802944694904,0,0.0013870641,0.4008322385256179,0,0,The system is not allowing me to complete my payment for the application. I am doing this from Accra using a stable internet connection.,en,YES
9,2024-01-08 03:35:23,Monday,03:35,3,81.63315541156751,156,12.317522798333332,1.9484437246787485,0.0050582361111257,200,0,0.2222222222222222,87.30895869196587,273,0,367.90919263001376,501.1459506282563,1097.4853905081527,0,0.0013870641,0.4008322385256179,0,0,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Yɛsrɛ sɛ hwɛ sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.,ak,YES
10,2024-01-08 20:36:44,Monday,20:36,20,85.89925445568024,189,17.022515870833335,1.4098973490235955,0.1517934346497188,500,0,0.2,79.78666573656551,439,6,559.459087160459,2508.872279094717,6855.565877312452,1,0.99227977,0.9953679084777832,1,1,"I am trying to pay the passport fee but the payment keeps failing on the portal. There was no clear error code, just a generic failure message.",en,YES
11,2024-01-08 22:35:35,Monday,22:35,22,180.80548371122188,164,1.9810239075,10.0,0.0080577915791326,200,0,0.1818181818181818,72.35605390993845,411,1,286.5773928448248,1084.0386578266218,2140.070808941466,0,0.0013870641,0.4008322385256179,0,0,"Nhyehyɛe no mma me kwan sɛ menwie me ka wɔ application no ho. Na mfomso koodu biara nni hɔ a emu da hɔ, na ɛyɛ generic failution message kɛkɛ.",ak,YES
12,2024-01-09 10:32:36,Tuesday,10:32,10,148.76314457167814,142,11.95020408222222,2.0083339024898925,0.0187043562034175,200,0,0.1666666666666666,79.82720365133646,198,1,325.65986600167105,1095.4499314692966,1667.2044865549494,0,0.0013870641,0.4008322385256179,0,0,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
13,2024-01-10 01:22:00,Wednesday,01:22,1,109.24925921405764,216,14.823407276388888,1.6190609589623723,0.0997071325716199,504,0,0.1538461538461538,75.33245330348973,155,10,1094.7722729698949,2205.359508278128,7119.3703240772675,1,0.99227977,0.9953679084777832,1,1,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. Please check from your side if there is a system issue.",en,YES
14,2024-01-10 21:18:57,Wednesday,21:18,21,123.28397307066872,176,19.94893851777778,1.2030715307790467,0.0117577138385956,200,0,0.1428571428571428,91.82106528032472,266,4,258.82283287383297,1005.9262544921704,2023.4306826455463,0,0.0013870641,0.4008322385256179,0,0,"Be fɛɛ be ni makliki nyɔmɔwoo nɔ lɛ, baafa lɛ shwieɔ shi loo etsɔɔ tɔmɔ ko ni nibii ni akɛtsuɔ nii lɛ eyaaa mli. Enɛ je shishi leebi nɛɛ.",ga,YES
15,2024-01-10 22:46:43,Wednesday,22:46,22,119.38739716343096,137,1.4629545494444445,10.0,0.0100279295719064,204,0,0.1333333333333333,68.55240922073101,267,2,257.02321915623594,1009.4018695309704,1203.0436926403868,0,0.0013870641,0.4008322385256179,0,0,Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔbiagbalẽvia ta nu o. Esia le nye mɔzɔzɔ ŋuti ɖoɖowo hem ɖe megbe eye mehiã kpekpeɖeŋu kpata.,ew,YES
16,2024-01-11 23:00:46,Thursday,23:00,23,136.57979566154523,148,24.234172341666667,0.9903371017435554,0.0174676832874209,200,0,0.125,66.33088397364271,412,3,360.6470948584169,1225.3105755407005,1214.3319012884008,0,0.0013870641,0.0008322385256178677,0,0,"Ɣesiaɣi si mezi fetu dzi la, axaa tsia tsikpe alo ɖea vodada aɖe fiana eye asitsatsa la metoa eme o. Kpe ɖe ŋunye nyuie be makpɔ esia gbɔ ale be mate ŋu ayi nye dɔwɔnua dzi.",ew,NO
17,2024-01-12 05:44:21,Friday,05:44,5,175.78505033459675,161,6.7262375727777775,3.568116609073112,0.0016800342904125,200,0,0.1176470588235294,83.74760900287232,278,4,351.37577781496583,998.6244632662836,2133.0130231512007,0,0.0013870641,0.4008322385256179,0,0,Nhyehyɛe no mma me kwan sɛ menwie m’akatua wɔ akwammisa krataa no ho. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Nkran.,ak,YES
18,2024-01-13 16:57:19,Saturday,16:57,16,155.7795964398091,143,35.21623263,0.681503903388998,0.013630520597733,200,1,0.1666666666666666,87.47009615460544,320,2,332.76897043363715,1108.4910865636168,2081.9024402281257,0,0.0013870641,0.4008322385256179,0,0,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. I have tried using different browsers but the issue remains.",en,YES
19,2024-01-14 06:38:11,Sunday,06:38,6,87.29183730553346,162,13.680978235555555,1.7542605204667523,0.0136021939686655,200,0,0.1578947368421052,87.85141705639343,176,1,265.8074093522572,1397.774068255051,1567.0461503114657,0,0.0013870641,0.4008322385256179,0,0,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le agbo la dzi. Esia le nye mɔzɔzɔ ŋuti ɖoɖowo hem ɖe megbe eye mehiã kpekpeɖeŋu kpata.,ew,YES
20,2024-01-14 20:11:46,Sunday,20:11,20,173.17737575068384,157,13.559717598333334,1.769948365513889,0.0133816003372456,200,0,0.15,83.31851582508334,348,2,230.98478004017895,901.451007612372,1116.1333949992602,0,0.0013870641,0.4008322385256179,0,0,I am trying to pay the passport fee but the payment keeps failing on the portal. I have been trying for the past two hours without success.,en,YES
21,2024-01-14 21:05:32,Sunday,21:05,21,135.95962490046043,164,0.8960951386111111,10.0,0.0188466898987007,200,1,0.1904761904761904,90.75842671121804,463,0,302.1826206462122,885.1250709192223,1018.1470325476784,0,0.0013870641,0.4008322385256179,0,0,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Yɛsrɛ sɛ hwɛ fi wo nkyɛn sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.",ak,YES
22,2024-01-15 09:30:46,Monday,09:30,9,149.04730285506207,164,12.42059695722222,1.932274276563228,0.0164617505801376,200,0,0.1818181818181818,78.79712861570384,494,0,369.05582328291024,503.5489918647713,1432.2354241926173,0,0.0013870641,0.4008322385256179,0,0,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Eyi fii ase sii anɔpa yi.",ak,YES
23,2024-01-15 11:24:15,Monday,11:24,11,176.3289300747511,152,1.8913795255555557,10.0,0.0008394545248701,200,1,0.217391304347826,89.67299955507774,246,4,370.9443645521466,1113.426261521232,1013.8334103808404,0,0.0013870641,0.4008322385256179,0,0,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. There was no clear error code, just a generic failure message.",en,YES
