deployment_id,timestamp,deployment_day_of_week,deployment_time_of_day,deployment_hour,build_duration_sec,code_churn_lines,time_since_last_deployment_hours,deployment_frequency_per_day,error_rate,http_status_code,rollback_occurred,rollback_frequency,test_coverage_pct,total_test_cases,failed_test_cases,latency_p50_ms,latency_p95_ms,latency_p99_ms,failure_label
1,2024-01-03 12:41:52,Wednesday,12:41,12,83.91420124568596,164,0.0,10.0,0.006363504190174063,200,0,0.0,76.23389635993856,170,0,345.9792322116371,933.3194902328969,2274.7033912035304,0
2,2024-01-03 18:19:37,Wednesday,18:19,18,118.07217948553614,173,5.628965268611111,4.263661055759498,0.005334068612744285,200,1,0.5,67.52266040474748,406,4,321.46811380786005,1047.3777534997462,1089.8570515050455,0
3,2024-01-04 00:21:42,Thursday,00:21,0,197.3767218357243,176,6.034828066944445,3.9769152880194123,0.01933970036056075,200,1,0.6666666666666666,78.07725836134738,166,4,320.2444823029409,562.0701367085111,1341.187165709381,0
4,2024-01-04 19:06:02,Thursday,19:06,19,141.40795252295612,183,18.738895693055557,1.280758503228883,0.055642424143360666,200,0,0.5,66.6461982147992,200,16,413.91099434034714,4024.389288804668,6934.944046905424,1
5,2024-01-06 00:31:05,Saturday,00:31,0,88.20415309262295,166,29.41744590361111,0.8158424112901626,0.015746516749147906,200,0,0.4,68.48130724633506,419,0,290.8945856941372,1329.4254041863321,1580.037241958182,0
6,2024-01-06 22:00:59,Saturday,22:00,22,177.41010891128693,177,21.498420613333334,1.1163610774791142,0.0196832991896643,200,0,0.3333333333333333,71.46946546476154,464,4,333.92437632656345,559.6716556824966,2204.299558596319,0
7,2024-01-07 04:46:41,Sunday,04:46,4,190.01958202382065,154,6.761576034444444,3.5494683307176516,0.0003980296748015566,200,0,0.2857142857142857,88.20724804168222,232,4,217.50062028029882,669.3991256326073,1579.836810597239,0
8,2024-01-07 15:16:20,Sunday,15:16,15,121.37990714984007,158,10.494075303055554,2.287004743811199,0.0139805482808419,200,0,0.25,89.96453837299025,455,0,238.19211646423895,1295.8326589504416,1306.9802944694904,0
9,2024-01-08 03:35:23,Monday,03:35,3,81.63315541156751,156,12.317522798333332,1.9484437246787485,0.005058236111125742,200,0,0.2222222222222222,87.30895869196587,273,0,367.90919263001376,501.1459506282563,1097.4853905081527,0
10,2024-01-08 20:36:44,Monday,20:36,20,85.89925445568024,189,17.022515870833335,1.4098973490235955,0.15179343464971884,500,0,0.2,79.78666573656551,439,6,559.459087160459,2508.872279094717,6855.565877312452,1
11,2024-01-08 22:35:35,Monday,22:35,22,180.80548371122188,164,1.9810239074999998,10.0,0.008057791579132617,200,0,0.18181818181818182,72.35605390993845,411,1,286.5773928448248,1084.0386578266218,2140.070808941466,0
12,2024-01-09 10:32:36,Tuesday,10:32,10,148.76314457167814,142,11.950204082222221,2.0083339024898925,0.0187043562034175,200,0,0.16666666666666666,79.82720365133646,198,1,325.65986600167105,1095.4499314692966,1667.2044865549494,0
13,2024-01-10 01:22:00,Wednesday,01:22,1,109.24925921405763,216,14.823407276388888,1.6190609589623723,0.09970713257161999,504,0,0.15384615384615385,75.33245330348973,155,10,1094.7722729698949,2205.359508278128,7119.3703240772675,1
14,2024-01-10 21:18:57,Wednesday,21:18,21,123.28397307066872,176,19.94893851777778,1.2030715307790467,0.011757713838595633,200,0,0.14285714285714285,91.82106528032472,266,4,258.82283287383297,1005.9262544921704,2023.4306826455463,0
15,2024-01-10 22:46:43,Wednesday,22:46,22,119.38739716343095,137,1.4629545494444445,10.0,0.010027929571906487,204,0,0.13333333333333333,68.55240922073101,267,2,257.02321915623594,1009.4018695309703,1203.0436926403868,0
